filename,plonk_err,fractus_err
764215884291420.jpg,12.78033290009277,1159.721712130783
199093302037805.jpg,8.667473611494092,1222.2117519759515
4252088971509081.jpg,35.889903227620785,1396.7503538524486
285353796653122.jpg,36.27739699051415,994.780322236774
1921161284978547.jpg,43.25410179947678,1176.576221513906
2660985817541107.jpg,39.810378101040364,1204.291369485093
948609629539857.jpg,62.0314569328628,1217.0951140340355
466544041298296.jpg,25.839389218748348,1119.107159914057
475537613669054.jpg,12.574061645922145,542.1154743912587
547138909702902.jpg,9.440468848689893,980.9169963239399
1443024959936137.jpg,18.53230198787683,1179.1405338429902
340625234149955.jpg,26.54149449068908,1425.3447577461727
642823391078007.jpg,82.77093942980815,1336.6161752718288
569211890782557.jpg,11.278594463028442,1082.8497419742177
1425726552169460.jpg,15.005851283996785,1167.6388176593273
2745610299082903.jpg,10.222226142842963,1163.0379899968173
1561889344015498.jpg,50.6914451404299,1158.2817435456411
3623862811267602.jpg,31.202482527435848,1363.2992217556518
1747961422073543.jpg,7.039941932742376,976.039838396999
1321153734948549.jpg,35.27244860314044,1166.239415177228
1184962648605626.jpg,25.10248120702172,552.6785517418687
686774752615189.jpg,52.04632571454361,1167.0851119427439
24610155511950635.jpg,9.596404962291945,1166.10043483419
548526189620102.jpg,50.407140813489,1388.0299058539395
983081222497422.jpg,16.59210554514463,1244.0770081875187
2899935216828416.jpg,7.779216455529083,525.7066953810902
606367400319899.jpg,29.885522520805864,1020.4348961866489
529149251433749.jpg,21.698054618612176,1398.8563941795865
1894388454053150.jpg,9.821561349183758,1157.698333269774
822579758385753.jpg,13.18569062695537,995.7417092306652
187755889838914.jpg,7.466352029909759,1230.4361003294125
453997060432612.jpg,33.253899683671484,1168.4384764606393
1003926544447709.jpg,17.490009000375615,1251.9098472334547
1953087545459201.jpg,3.8092293696121327,967.0066916072449
4456149714443684.jpg,43.43109100224639,1422.0529772383372
1135161855149254.jpg,12.652171346035157,1169.6263312884537
1481026925581866.jpg,15.005209914707764,1275.4168234165359
133640698802761.jpg,53.60394365572457,1186.7884652995338
1522978498859446.jpg,48.48812880814969,1062.843439160664
1109927074409648.jpg,52.536361399776034,359.5777404864034
413424230044807.jpg,38.051419541600026,529.9402377299169
921399348640391.jpg,17.173342863987017,1385.9849181919863
1007806194406968.jpg,49.17442581875296,1345.4545246436041
1146750869163884.jpg,22.515165887517295,1186.6625912411375
5125111340849273.jpg,16.680630067072496,1386.388264798619
1327955221796017.jpg,38.63700138246528,1340.1092106802944
737616343584995.jpg,24.049281341589783,1118.8415005678057
1708362939354529.jpg,13.012716600507714,967.2820744497731
705668152462516.jpg,29.24670932184716,1146.509503783041
1893131397802142.jpg,22.26560385873003,1366.564528098248
